Gene ID	Mirbase ID	Site type	Site start	Site end	Threep score	Local AU score	Min dist	UTR length score	ORF length	ORF 8mers	Off6m score	TA	SPS
CDC2L6	hsa-miR-1-3p	6mer	3602	3607	2.0	0.537132213245	2.96563091712	3.65618569039	3.18241465243	0	0.0	3.539	-5.66
CDC2L6	hsa-miR-1-3p	7mer-1a	2588	2594	2.0	0.496147669637	3.28711003732	3.65618569039	3.18241465243	0	0.0	3.539	-5.66
CDC2L6	hsa-miR-101-3p.1	7mer-1a	1662	1668	2.5	0.477100196252	3.22036963245	3.65618569039	3.18241465243	0	0.0	3.544	-5.01
CDC2L6	hsa-miR-101-3p.1	6mer	519	524	1.5	0.517097952027	2.71432975975	3.40889587572	3.18241465243	0	-0.42375300651	3.544	-5.01
CDC2L6	hsa-miR-101-3p.1	6mer	1591	1596	4.0	0.500947303185	3.20139712432	3.65618569039	3.18241465243	0	0.0	3.544	-5.01
CDC2L6	hsa-miR-101-3p.1	6mer	3167	3172	4.0	0.692839264766	3.13319154399	3.65618569039	3.18241465243	0	0.0	3.544	-5.01
CDC2L6	hsa-miR-10a-5p	6mer	2655	2660	2.5	0.518440488037	3.27205351327	3.65618569039	3.18241465243	0	0.0	3.432	-8.41
CDC2L6	hsa-miR-10b-5p	6mer	2655	2660	2.5	0.518440488037	3.27205351327	3.65618569039	3.18241465243	0	0.0	3.432	-8.41
CDC2L6	hsa-miR-18a-5p	7mer-m8	308	314	2.0	0.612137834395	2.48713837548	3.40889587572	3.18241465243	0	0.0	3.334	-9.5
CDC2L6	hsa-miR-18a-5p	7mer-m8	448	454	1.5	0.818352257557	2.65030752313	3.40889587572	3.18241465243	0	0.0	3.334	-9.5
CDC2L6	hsa-miR-18a-5p	6mer	2817	2822	3.5	0.359391279959	3.2327198666	3.65618569039	3.18241465243	0	0.0	3.334	-6.08
CDC2L6	hsa-miR-18b-5p	7mer-m8	308	314	2.0	0.612137834395	2.48713837548	3.40889587572	3.18241465243	0	0.0	3.334	-9.5
CDC2L6	hsa-miR-18b-5p	7mer-m8	448	454	1.5	0.818352257557	2.65030752313	3.40889587572	3.18241465243	0	0.0	3.334	-9.5
CDC2L6	hsa-miR-18b-5p	6mer	2817	2822	3.5	0.359391279959	3.2327198666	3.65618569039	3.18241465243	0	0.0	3.334	-6.08
CDC2L6	hsa-miR-206	6mer	3602	3607	2.0	0.537132213245	2.96563091712	3.65618569039	3.18241465243	0	0.0	3.539	-5.66
CDC2L6	hsa-miR-206	7mer-1a	2588	2594	1.5	0.496147669637	3.28711003732	3.65618569039	3.18241465243	0	0.0	3.539	-5.66
CDC2L6	hsa-miR-4651	6mer	204	209	2.0	0.550082679656	2.20307102812	3.27638504058	3.18241465243	0	0.0	3.758	-10.04
CDC2L6	hsa-miR-4651	7mer-1a	4387	4393	2.0	0.272464765625	2.1396041284	3.65618569039	3.18241465243	0	0.0	3.758	-10.04
CDC2L6	hsa-miR-4735-3p	7mer-m8	308	314	2.0	0.612137834395	2.48713837548	3.40889587572	3.18241465243	0	0.0	3.334	-9.5
CDC2L6	hsa-miR-4735-3p	7mer-m8	448	454	3.0	0.818352257557	2.65030752313	3.40889587572	3.18241465243	0	0.0	3.334	-9.5
CDC2L6	hsa-miR-4735-3p	6mer	2817	2822	2.0	0.359391279959	3.2327198666	3.65618569039	3.18241465243	0	0.0	3.334	-6.08
CDC2L6	hsa-miR-601	7mer-1a	3843	3849	2.0	0.55570914977	2.83372875204	3.65618569039	3.18241465243	0	0.0	3.121	-6.72
CDC2L6	hsa-miR-603	8mer-1a	928	935	4.0	0.780563184416	2.7944237507	3.40889587572	3.18241465243	0	0.0	3.637	-8.03
CDC2L6	hsa-miR-603	6mer	3321	3326	1.0	0.487528849758	3.08095556677	3.65618569039	3.18241465243	0	0.0	3.637	-6.4
CDC2L6	hsa-miR-603	6mer	3323	3328	1.0	0.615611715747	3.08023409486	3.65618569039	3.18241465243	0	0.0	3.637	-6.4
CDC2L6	hsa-miR-604	6mer	1837	1842	2.5	0.639519074104	3.26387267687	3.65618569039	3.18241465243	0	0.0	3.461	-10.2
CDC2L6	hsa-miR-604	6mer	2245	2250	2.0	0.738265138035	3.35102285258	3.65618569039	3.18241465243	0	0.0	3.461	-10.2
CDC2L6	hsa-miR-605-5p	7mer-m8	2530	2536	1.0	0.466111107557	3.29992388598	3.65618569039	3.18241465243	0	0.0	3.507	-7.29
CDC2L6	hsa-miR-605-5p	6mer	296	301	1.5	0.489307046146	2.46982201598	3.40889587572	3.18241465243	0	-0.42375300651	3.507	-4.03
CDC2L6	hsa-miR-605-5p	6mer	366	371	1.5	0.83741582714	2.56229286446	3.40889587572	3.18241465243	0	-0.42375300651	3.507	-4.03
CDC2L6	hsa-miR-605-5p	6mer	864	869	3.5	0.573636392402	2.80611782509	3.40889587572	3.18241465243	0	-0.42375300651	3.507	-4.03
CDC2L6	hsa-miR-606	7mer-1a	2119	2125	1.5	0.529544792033	3.32592595577	3.65618569039	3.18241465243	0	0.0	3.354	-4.28
CDC2L6	hsa-miR-607	7mer-1a	2230	2236	2.0	0.589641812709	3.34811006848	3.65618569039	3.18241465243	0	0.0	3.977	-2.26
CDC2L6	hsa-miR-607	6mer	3093	3098	2.0	0.403029189288	3.15621971911	3.65618569039	3.18241465243	0	0.0	3.977	-2.26
CDC2L6	hsa-miR-607	6mer	290	295	2.0	0.462171799169	2.46089784276	3.40889587572	3.18241465243	0	0.0	3.977	-2.26
CDC2L6	hsa-miR-607	7mer-1a	3151	3157	2.0	0.65580063692	3.13795912472	3.65618569039	3.18241465243	0	0.0	3.977	-2.26
CDC2L6	hsa-miR-607	7mer-1a	3490	3496	3.0	0.640000183717	3.01490369878	3.65618569039	3.18241465243	0	0.0	3.977	-2.26
CDC2L6	hsa-miR-607	6mer	910	915	1.5	0.497094679472	2.79836393427	3.40889587572	3.18241465243	0	0.0	3.977	-2.26
CDC2L6	hsa-miR-608	6mer	204	209	4.0	0.550082679656	2.20307102812	3.27638504058	3.18241465243	0	0.0	3.758	-10.04
CDC2L6	hsa-miR-608	7mer-1a	4387	4393	2.0	0.272464765625	2.1396041284	3.65618569039	3.18241465243	0	0.0	3.758	-10.04
CDC2L6	hsa-miR-609	8mer-1a	3217	3224	2.5	0.423445979774	3.11624656427	3.65618569039	3.18241465243	0	0.0	3.388	-9.5
CDC2L6	hsa-miR-613	6mer	3602	3607	0.0	0.537132213245	2.96563091712	3.65618569039	3.18241465243	0	0.0	3.539	-5.66
CDC2L6	hsa-miR-613	7mer-1a	2588	2594	3.5	0.496147669637	3.28711003732	3.65618569039	3.18241465243	0	0.0	3.539	-5.66
FNDC3A	hsa-let-7a-5p	7mer-1a	2002	2008	1.5	0.825602815537	2.37031762022	3.35075073118	3.55762748843	0	-0.614181745447	3.393	-6.72
FNDC3A	hsa-let-7a-5p	7mer-m8	465	471	2.0	0.692581696309	2.66651798055	3.23541081256	3.55762748843	0	-1.09114199669	3.393	-9.25
FNDC3A	hsa-let-7a-5p	6mer	686	691	3.0	0.699415047986	2.8222974315	3.23541081256	3.55762748843	0	-1.09114199669	3.393	-6.72
FNDC3A	hsa-let-7b-5p	7mer-1a	2002	2008	1.0	0.825602815537	2.37031762022	3.35075073118	3.55762748843	0	-0.614181745447	3.393	-6.72
FNDC3A	hsa-let-7b-5p	7mer-m8	465	471	0.5	0.692581696309	2.66651798055	3.23541081256	3.55762748843	0	-1.09114199669	3.393	-9.25
FNDC3A	hsa-let-7b-5p	6mer	686	691	3.0	0.699415047986	2.8222974315	3.23541081256	3.55762748843	0	-1.09114199669	3.393	-6.72
